,match_date,match_map,match_mode,match_duration,match_result,champ_name,champ_kills,champ_deaths,champ_assists,champ_farm,champ_gold,champ_level,champ_first_spell,champ_second_spell
759,2020-01-25,Summoner's Rift,Normal (Draft Mode),29.116666666666664,victory,Caitlyn,5,4,10,135,10700,13,SummonerHeal,SummonerFlash
760,2020-01-25,Summoner's Rift,,21.9,defeat,Kai'Sa,9,13,12,120,17400,19,SummonerBoost,SummonerFlash
761,2020-01-25,Summoner's Rift,Normal (Draft Mode),24.633333333333333,victory,Caitlyn,5,1,8,170,10200,13,SummonerHeal,SummonerFlash
762,2020-01-24,Summoner's Rift,Normal (Draft Mode),26.35,victory,Caitlyn,7,2,11,144,10700,12,SummonerHeal,SummonerFlash
763,2020-01-24,Summoner's Rift,,19.03333333333333,victory,Akali,23,11,13,110,20100,19,SummonerBoost,SummonerFlash
764,2020-01-24,Summoner's Rift,,18.55,victory,Caitlyn,11,10,12,93,15600,18,SummonerBoost,SummonerFlash
765,2020-01-24,Summoner's Rift,,17.55,victory,Ahri,8,5,8,93,13700,15,SummonerBoost,SummonerFlash
766,2020-01-23,Summoner's Rift,,16.15,victory,Tristana,8,12,6,72,13400,14,SummonerBoost,SummonerFlash
767,2020-01-23,Summoner's Rift,,21.0,victory,Caitlyn,18,7,10,119,20600,19,SummonerBoost,SummonerFlash
768,2020-01-23,Summoner's Rift,,17.28333333333333,victory,Pyke,5,10,6,33,11300,14,SummonerBoost,SummonerFlash
769,2020-01-23,Summoner's Rift,,19.8,defeat,Annie,9,12,6,81,13400,16,SummonerBoost,SummonerFlash
770,2020-01-23,Summoner's Rift,,16.266666666666666,defeat,Taliyah,11,8,6,62,13600,14,SummonerBoost,SummonerFlash
771,2020-01-22,Summoner's Rift,,15.633333333333331,defeat,Thresh,4,12,9,29,10400,12,SummonerBoost,SummonerFlash
772,2020-01-22,Summoner's Rift,Normal (Draft Mode),32.483333333333334,defeat,Caitlyn,7,6,17,185,12700,15,SummonerHeal,SummonerFlash
773,2020-01-22,Summoner's Rift,,24.583333333333332,victory,Zilean,7,12,17,80,16800,21,SummonerBoost,SummonerFlash
774,2020-01-22,Summoner's Rift,,15.23333333333333,victory,Ryze,1,3,7,100,10600,13,SummonerBoost,SummonerFlash
775,2020-01-22,Summoner's Rift,,18.383333333333333,defeat,Thresh,4,16,25,44,13000,16,SummonerDot,SummonerFlash
776,2020-01-20,Summoner's Rift,Normal (Draft Mode),30.333333333333332,defeat,Ezreal,8,7,4,142,11300,12,SummonerHeal,SummonerFlash
777,2020-01-20,Summoner's Rift,,27.133333333333333,defeat,Xerath,14,9,29,99,21400,21,SummonerBoost,SummonerFlash
778,2020-01-20,Summoner's Rift,Normal (Draft Mode),30.583333333333332,defeat,Xayah,14,6,8,161,13000,14,SummonerHeal,SummonerFlash
779,2020-01-20,Summoner's Rift,Normal (Draft Mode),26.96666666666666,victory,Nunu & Willump,2,4,8,133,8500,13,SummonerSmite,SummonerFlash
780,2020-01-20,Summoner's Rift,,17.566666666666666,defeat,Jax,8,12,10,61,13700,16,SummonerBoost,SummonerFlash
781,2020-01-20,Summoner's Rift,,20.68333333333333,defeat,Morgana,9,6,16,115,17200,18,SummonerBoost,SummonerFlash
782,2020-01-19,Summoner's Rift,,16.833333333333332,victory,Morgana,11,8,18,55,14500,16,SummonerBoost,SummonerFlash
783,2020-01-19,Summoner's Rift,,20.68333333333333,victory,Irelia,13,11,11,58,16400,19,SummonerBoost,SummonerFlash
784,2020-01-19,Summoner's Rift,,21.23333333333333,defeat,Soraka,3,12,26,57,14800,16,SummonerBoost,SummonerFlash
785,2020-01-19,Summoner's Rift,Ranked (Draft Mode),27.566666666666663,victory,Aphelios,8,4,8,162,11700,14,SummonerHeal,SummonerFlash
786,2020-01-19,Summoner's Rift,,21.73333333333333,victory,Veigar,13,7,13,101,18300,20,SummonerBoost,SummonerFlash
787,2020-01-19,Summoner's Rift,Normal (Draft Mode),22.95,defeat,Blitzcrank,2,10,8,36,6600,10,SummonerDot,SummonerFlash
788,2020-01-19,Summoner's Rift,Normal (Draft Mode),36.21666666666666,victory,Garen,8,10,9,124,13200,16,SummonerTeleport,SummonerFlash
789,2020-01-18,Summoner's Rift,Normal (Draft Mode),34.18333333333333,victory,Caitlyn,6,11,19,156,12900,16,SummonerTeleport,SummonerFlash
